tweet_id,author_id,created_at,text,response_tweet_id,in_response_to_tweet_id,intent,confidence,human_intent
543840,240102,Sat Dec 02 19:42:09 +0000 2017,@AmazonHelp I haven’t got the email notification for that refund but thanks,543841,543839.0,RETURN_REFUND,0.92,RETURN_REFUND
295885,186466,Fri Oct 06 19:07:05 +0000 2017,@AmazonHelp So I take it I will be getting refunded for the next day delivery ? https://t.co/luDW7smzkt,295887,295884.0,RETURN_REFUND,0.98,RETURN_REFUND
125288,144096,Fri Nov 24 02:23:55 +0000 2017,"@AmazonHelp Eu já falei com vocês sobre a HQ que veio com páginas rasgadas e sem plástico. Mas, como demorou quinze dias para chegar, e eu precisava para um trabalho,  não tinha como eu devolver. Ela chegou na quarta e a apresentação era na sexta. Atrasou meu trabalho e ainda veio rasurada.",125335,125287.0,RETURN_REFUND,0.95,SKIP
1676548,201213,Tue Oct 17 14:56:15 +0000 2017,"@AmazonHelp @115850  Where is my cashback???????????of ordr no. 402-7250695-6490769 ,I am extremely disappointed with ur pathetic service.","1676547,1676549",,PAYMENT_BILLING,0.95,PAYMENT_BILLING
781200,210971,Thu Oct 12 06:03:25 +0000 2017,@AmazonHelp I am yet to receive the cashback for AmazonPay which I had loaded a week back and used as well. Haven't heard from CS Ankit yet,"781198,781201,781202",,PAYMENT_BILLING,0.95,PAYMENT_BILLING
1113860,382878,Tue Oct 24 02:41:29 +0000 2017,@115850 @AmazonHelp unable to delete card via Manage Payment Methods page. Is the issue brought to notice already? #CardManagement #Amazon,1113859,,PAYMENT_BILLING,0.95,PAYMENT_BILLING
2133370,627708,Thu Oct 19 07:58:31 +0000 2017,"@AmazonHelp had a situation where my sister credit card was charged for my annual fee for prime, wondering if she can get her money back?",2133369,,PRIME_MEMBERSHIP,0.95,PRIME_MEMBERSHIP
318022,191888,Sat Oct 07 11:54:38 +0000 2017,@AmazonHelp https://t.co/OmUxamTrvz.  Is it because I’m using an iPad?,318024,318021.0,PRODUCT_TECHNICAL,0.92,PRODUCT_TECHNICAL
1688629,171992,Mon Nov 06 20:21:24 +0000 2017,"@AmazonHelp 2nd. Using voice remote to access video. Ask for Homeland it takes me to Netflix, which I have. Ask for Blue Bloods, takes me to Hulu.",,1688627.0,PRODUCT_TECHNICAL,0.98,PRODUCT_TECHNICAL
963221,348583,Sat Oct 21 22:35:12 +0000 2017,@AmazonHelp kindle version 4.1.2 have WiFi but can’t download latest update.  Can’t shop.  can’t trans update laptop-kindle,963217,,PRODUCT_TECHNICAL,0.98,PRODUCT_TECHNICAL
399875,210546,Mon Oct 09 19:07:23 +0000 2017,@AmazonHelp u hv the order id... Ryt...?? Chck the issue then,399876,399874.0,ORDER_STATUS,,ORDER_STATUS
1560586,482166,Sat Nov 04 08:54:14 +0000 2017,"@AmazonHelp I didn’t get the email so checked the app last night and it said delivered, contacted CS and they said I’d have the email within 24h",1560588,1560585.0,ORDER_STATUS,,DELIVERY_NOT_RECEIVED
2719470,763166,Mon Nov 20 08:01:41 +0000 2017,@AmazonHelp @115850 pls help i have placed an order but still i have not received any order no on my no or on email pls help asap.,2719468,,ORDER_STATUS,0.95,ORDER_STATUS
955054,346598,Fri Nov 10 22:31:58 +0000 2017,@AmazonHelp L'application @33156 fait booter en boucle mon #firetvstick tout neuf. Apres désinstallation et réinstallation j ai maintenant une erreur -116. Netflix fonctionne bien sur gsm/chromecast actuellement,955052,955058.0,DELIVERY_DELAY,,SKIP
2356741,608467,Mon Nov 13 19:29:40 +0000 2017,My last 3+ @115821 Prime orders have been late.  Is this going to be an ongoing theme or is this just some fluke.  I need to know if I can no longer count on your delivery dates @AmazonHelp,2356740,,DELIVERY_DELAY,,DELIVERY_DELAY
2132866,530544,Wed Nov 08 20:18:15 +0000 2017,"@AmazonHelp ""arriving today by 9 p.m."" I paid for same-day delivery yesterday, and they attempted delivery around 7pm when I was not home and the office was closed.","2132868,2132869",2132865.0,DELIVERY_DELAY,,DELIVERY_DELAY
287988,184635,Thu Oct 12 14:09:25 +0000 2017,"@AmazonHelp The question is not about receiving the orders on or before 8PM, it's about sharing contact details, #WhyAmazon ?

@115850  @115821",287990,287987.0,CUSTOMER_SERVICE_ESCALATION,0.92,CUSTOMER_SERVICE_ESCALATION
2308910,669708,Mon Nov 13 03:11:05 +0000 2017,"@AmazonHelp Yep, ""Mau"" is just giving me ""canned answers"". *sighs* In the 13 yrs I've been a customer, this is only my SECOND Customer Service experience and honestly, it's Terrible.",,2308909.0,CUSTOMER_SERVICE_ESCALATION,0.98,CUSTOMER_SERVICE_ESCALATION
948444,344924,Mon Oct 30 22:30:14 +0000 2017,@116090 @AmazonHelp Then they failed repeatedly to get my postal code into a zip code slot &amp; to CLUE in that it is a Canadian cust.1st rep also disconnected me,948443,948445.0,CUSTOMER_SERVICE_ESCALATION,0.95,CUSTOMER_SERVICE_ESCALATION
